action_type,event_type,loc_x,loc_y,minutes_remaining,period,player_name,position,height,shot_distance,shot_made_flag,points,shot_type,shot_zone_basic,shot_zone_range,team_name
Pullup Jump shot,Made Shot,207,147,3,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,201,190,2,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Step Back Jump shot,Made Shot,201,170,1,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-72,291,0,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,29,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-99,174,3,5,Stephen Curry,"Point Guard, Shooting Guard",6.3,20,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Turnaround Jump Shot,Missed Shot,131,149,2,5,Stephen Curry,"Point Guard, Shooting Guard",6.3,19,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Driving Floating Jump Shot,Made Shot,65,115,11,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,13,1,2,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Golden State Warriors
Pullup Jump shot,Missed Shot,126,225,8,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Finger Roll Layup Shot,Missed Shot,23,5,5,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Pullup Jump shot,Made Shot,50,210,11,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,21,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Turnaround Fadeaway shot,Made Shot,38,131,11,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,13,1,2,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Golden State Warriors
Running Pull-Up Jump Shot,Made Shot,-180,187,10,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
